5.000000	3.660660
2.500000	2.745044
4.500000	3.630002
5.000000	4.019299
4.000000	3.144595
4.000000	3.138144
2.300000	2.632431
5.000000	4.082076
3.300000	3.538257
3.200000	3.612257
2.500000	2.923437
4.000000	2.746509
5.000000	3.985582
4.000000	3.500540
3.300000	3.320221
3.500000	3.796258
4.000000	2.661338
3.000000	2.669415
4.000000	3.665490
3.000000	3.094869
2.500000	3.251081
2.500000	2.649736
3.300000	3.781925
3.000000	2.857237
4.500000	3.464968
2.000000	2.116140
3.500000	3.771277
4.500000	3.840725
4.200000	3.390322
2.500000	2.346224
4.000000	3.297617
3.500000	3.070020
3.300000	3.506274
2.200000	3.199920
3.200000	2.940706
3.200000	3.839616
2.500000	2.111233
2.500000	3.683750
1.000000	3.110556
3.200000	3.040660
5.000000	3.671162
2.200000	3.600454
3.000000	3.580340
2.500000	3.724868
2.500000	3.194117
4.000000	3.662602
4.000000	3.457178
3.200000	3.587754
3.500000	3.996142
4.000000	3.757339
2.500000	2.643423
1.500000	3.048584
3.200000	3.561379
4.500000	3.811994
4.200000	3.620647
2.700000	3.135512
2.000000	2.563142
2.500000	3.712883
3.200000	3.678204
3.500000	3.666589
3.700000	3.531535
3.500000	3.535614
3.700000	3.461511
3.200000	3.701397
4.000000	3.443448
4.300000	3.364213
3.500000	3.103112
3.000000	3.119911
4.000000	3.659279
4.200000	3.543236
4.200000	3.752762
2.200000	2.640531
4.200000	3.495819
2.500000	3.245531
3.000000	3.179873
3.200000	3.504021
3.000000	2.413037
3.700000	3.791398
2.700000	3.123735
2.000000	3.440444
2.500000	2.961392
4.000000	3.544214
2.500000	2.944725
3.500000	2.016660
3.000000	2.607754
3.500000	3.567465
2.500000	3.650119
3.500000	3.660202
2.200000	3.078795
3.200000	2.380326
2.200000	3.710484
5.000000	3.788407
4.200000	3.578550
4.000000	3.705655
4.700000	3.723642
4.300000	3.948628
3.500000	3.650609
2.200000	2.883741
3.200000	3.147955
4.200000	3.274607
5.000000	3.907144
4.800000	3.137353
3.500000	3.886052
2.700000	3.514748
3.700000	3.705543
4.800000	3.977442
3.200000	3.029019
4.300000	3.969598
4.200000	3.882572
3.200000	2.772314
3.700000	3.073122
4.000000	3.469888
